ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name,park_type,User Category
14527,139,Kameyosek School,250 Lakewood Road East NW,Playground,Sand,Unknown,,Parks,2023/07/12,53.461152,-113.443566,"(53.4611521280126, -113.44356636162357)",POINT (-113.44356636162357 53.4611521280126),6340,KAMEYOSEK,play,Junior (18 months to 5 years)
218,3260,Klarvatten,211 Klarvatten Road,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2007/12/31,53.633128,-113.475618,"(53.63312843161053, -113.47561817100473)",POINT (-113.47561817100473 53.63312843161053),2440,KLARVATTEN,play,Junior/Senior (18 months to 12 years)
5328,3785,Blatchford Playground,2703 Blatchford Road NW,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2021/12/01,53.568763,-113.516997,"(53.56876255869503, -113.51699665736773)",POINT (-113.51699665736773 53.56876255869503),1111,BLATCHFORD AREA,play,Junior/Senior (18 months to 12 years)
610,3643,Granville Goodridge Playground,3440 Goodridge Link,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2014/12/31,53.50736,-113.679266,"(53.50735954524989, -113.67926645493395)",POINT (-113.67926645493395 53.50735954524989),4551,GRANVILLE,play,Junior/Senior (18 months to 12 years)
188,55,Horse Hill School,19355 Meridian Street NW,Playground,Sand,Unknown,,Parks,1994/12/31,53.657175,-113.342801,"(53.65717548466125, -113.3428014054935)",POINT (-113.3428014054935 53.65717548466125),2671,MARQUIS,play,Senior (6 to 12 years)
435,395,St. Elizabeth Seton School Park,3711 135 Avenue NW,Playground,"Pour In Place Rubber, Sand",Wheelchair Accessible,,Parks,1996/12/31,53.594453,-113.397168,"(53.594453257611335, -113.39716795529438)",POINT (-113.39716795529438 53.594453257611335),2070,BELMONT,play,Senior (6 to 12 years)
750,301,Garneau Community,10943 84 Avenue NW,Playground,Sand,Unknown,,Parks,1997/12/31,53.519795,-113.513443,"(53.51979500750399, -113.51344279737174)",POINT (-113.51344279737174 53.51979500750399),5200,GARNEAU,play,Junior/Senior (18 months to 12 years)
783,3700,Allard Playground,Allard Boulevard SW & Annett Com SW,Playground,Sand,Unknown,,Parks,2019/05/28,53.399929,-113.534269,"(53.39992915563856, -113.53426892482717)",POINT (-113.53426892482717 53.39992915563856),5458,ALLARD,play,Junior/Senior (18 months to 12 years)
213,60,J. A. Fife School,15804 76 Street NW,Playground,Sand,Unknown,,Parks,1999/12/31,53.6113,-113.461949,"(53.61130018798997, -113.46194898028222)",POINT (-113.46194898028222 53.61130018798997),2410,KILKENNY,play,Junior/Senior (18 months to 12 years)
584,3640,Griesbach Central Park Rock Garden Playground,2630 Sir Arthur Currie Way,Playground,Engineered Wood Fibre,Wheelchair Accessible,,Parks,2014/12/31,53.606798,-113.500239,"(53.606798328323435, -113.50023872375155)",POINT (-113.50023872375155 53.606798328323435),3111,GRIESBACH,play,Senior (6 to 12 years)
