ID,Playground Number,Name,Address,Type,Surface Type,Accessibility,Owner,Maintainer,Redevelopment Date,Latitude,Longitude,Location,Geometry Point,Neighbourhood ID,Neighbourhood Name
534008,3646,Tipton Spray Park,10849 81 Avenue NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2013/09/01,53.51640677348283,-113.51085527100082,"(53.51640677348283, -113.51085527100082)",POINT (-113.51085527100082 53.51640677348283),5330,QUEEN ALEXANDRA
12386,767,Killarney Spray Park,8720 130A Avenue NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2010/05/01,53.59068732446384,-113.47520833004904,"(53.59068732446384, -113.47520833004904)",POINT (-113.47520833004904 53.59068732446384),2420,KILLARNEY
12229,2781,Eastwood Spray,11803 - 86 STREET NW T5B3J9,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2006/09/01,53.57073598373799,-113.47219903379374,"(53.57073598373799, -113.47219903379374)",POINT (-113.47219903379374 53.57073598373799),1100,EASTWOOD
12502,627,Elmwood/John Devolder Spray Park,16415 83 AVENUE NW T5R3V8,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2010/12/31,53.51601436516919,-113.60592680813585,"(53.51601436516919, -113.60592680813585)",POINT (-113.60592680813585 53.51601436516919),4140,ELMWOOD
12563,778,Queen Mary Spray Park,10844 117 STREET NW T5H3N5,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2006/09/01,53.55427052227871,-113.52441572905926,"(53.55427052227871, -113.52441572905926)",POINT (-113.52441572905926 53.55427052227871),1180,QUEEN MARY PARK
708290,3677,Cy Becker Spray Park,270 Cy Becker Boulevard NW,Spray Park,Concrete,Wheelchair Accessible,Parks,Parks,2018/09/14,53.634261520268296,-113.40740165840427,"(53.634261520268296, -113.40740165840427)",POINT (-113.40740165840427 53.634261520268296),2611,CY BECKER
12228,2762,Riverdale Spray Park,9231 - 100 AVENUE NW T5H0A4,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2005/09/01,53.541518992472014,-113.47307625483498,"(53.541518992472014, -113.47307625483498)",POINT (-113.47307625483498 53.541518992472014),1210,RIVERDALE
431687,3481,Central McDougall Spray Park,10630 109 Avenue NW,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2011/09/01,53.55520311417628,-113.50330841551654,"(53.55520311417628, -113.50330841551654)",POINT (-113.50330841551654 53.55520311417628),1030,CENTRAL MCDOUGALL
12387,772,Montrose Spray Park,5955 - 120 AVENUE NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2011/07/01,53.572916482080515,-113.43307861893184,"(53.572916482080515, -113.43307861893184)",POINT (-113.43307861893184 53.572916482080515),2550,MONTROSE
12501,626,Laurier Heights Spray Park,14425 - 85 AVENUE NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2008/09/01,53.516569068187195,-113.56911286456494,"(53.516569068187195, -113.56911286456494)",POINT (-113.56911286456494 53.516569068187195),3270,LAURIER HEIGHTS
12503,630,Greenfield Spray Park,3755 - 114 STREET NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2009/09/01,53.4734942164016,-113.52563879024851,"(53.4734942164016, -113.52563879024851)",POINT (-113.52563879024851 53.4734942164016),5220,GREENFIELD
12619,2621,Woodcroft Spray Park,13831 - 114 AVENUE NW,Spray Deck,Concrete,Wheelchair Accessible,Parks,Parks,2012/05/01,53.56455221863649,-113.56187534857725,"(53.56455221863649, -113.56187534857725)",POINT (-113.56187534857725 53.56455221863649),3450,WOODCROFT
12278,2741,Ottewell Spray Park,5920 - 93A AVENUE NW T6B0X2,Spray Deck,Pour In Place Rubber,Wheelchair Accessible,Parks,Parks,2010/05/01,53.5307158620625,-113.42444560365136,"(53.5307158620625, -113.42444560365136)",POINT (-113.42444560365136 53.5307158620625),6550,OTTEWELL
